Fecha,Fallecidos
20200201,293
20200202,240
20200203,286
20200204,275
20200205,272
20200206,264
20200207,301
20200208,267
20200209,324
20200210,274
20200211,268
20200212,258
20200213,266
20200214,246
20200215,286
20200216,303
20200217,284
20200218,278
20200219,251
20200220,277
20200221,262
20200222,282
20200223,262
20200224,249
20200225,264
20200226,258
20200227,263
20200228,264
20200229,297
20200301,286
20200302,268
20200303,247
20200304,263
20200305,268
20200306,280
20200307,252
20200308,303
20200309,265
20200310,297
20200311,270
20200312,267
20200313,291
20200314,285
20200315,249
20200316,274
20200317,293
20200318,303
20200319,295
20200320,274
20200321,274
20200322,282
20200323,285
20200324,273
20200325,300
20200326,283
20200327,290
20200328,275
20200329,288
20200330,297
20200331,282
20200401,311
20200402,278
20200403,317
20200404,307
20200405,280
20200406,285
20200407,297
20200408,287
20200409,274
20200410,295
20200411,299
20200412,266
20200413,299
20200414,298
20200415,302
20200416,289
20200417,282
20200418,290
20200419,317
20200420,309
20200421,287
20200422,303
20200423,288
20200424,291
20200425,307
20200426,301
20200427,332
20200428,297
20200429,257
20200430,304
20200501,287
20200502,287
20200503,304
20200504,334
20200505,337
20200506,320
20200507,337
20200508,321
20200509,323
20200510,339
20200511,283
20200512,293
20200513,358
20200514,357
20200515,364
20200516,344
20200517,346
20200518,351
20200519,377
20200520,354
20200521,307
20200522,337
20200523,330
20200524,408
20200525,375
20200526,338
20200527,134
